Timestamp(ms),Bitrate(bps),DelayJitter(ms),Threshold(ms),CongestionState
433182034,0,0,12.5,0
433182084,301000,0,12.5,0
433182084,301000,0,12.5,0
433182084,301000,0,12.5,0
433182084,301000,0,7.1375,0
433182084,301000,1,6,0
433182084,301000,0,6,0
433182135,839454,0,6,0
433182135,839454,0,6,0
433182135,839454,0,6,0
433182135,839454,0,6,0
433182135,839454,-1,6,0
433182135,839454,0,6,0
433182135,839454,0,6,0
433182135,839454,0,6,0
433182135,839454,0,6,0
433182135,839454,0,6,0
433182186,2124923,0,6,0
433182186,2124923,0,6,0
433182186,2124923,0,6,0
433182186,2124923,0,6,0
433182186,2124923,0,6,0
433182186,2124923,0,6,0
433182186,2124923,0,6,0
433182186,2124923,0,6,0
433182186,2124923,0,6,0
433182186,2124923,0,6,0
433182186,2124923,0,6,0
433182186,2124923,0,6,0
433182186,2124923,0,6,0
433182186,2124923,0,6,0
433182186,2124923,0,6,0
433182186,2124923,0,6,0
433182186,2124923,0,6,0
433182186,2124923,0,6,0
433182236,4877142,0,6,0
433182236,4877142,0,6,0
433182236,4877142,0,6,0
433182236,4877142,0,6,0
433182236,4877142,0,6,0
433182236,4877142,0,6,0
433182236,4877142,0,6,0
433182236,4877142,0,6,0
433182236,4877142,0,6,0
433182236,4877142,0,6,0
433182236,4877142,0,6,0
433182236,4877142,0,6,0
433182236,4877142,0,6,0
433182236,4877142,0,6,0
433182236,4877142,0,6,0
433182236,4877142,0,6,0
433182236,4877142,0,6,0
433182236,4877142,0,6,0
433182236,4877142,0,6,0
433182236,4877142,0,6,0
433182236,4877142,0,6,0
433182236,4877142,0,6,0
433182236,4877142,0,6,0
433182236,4877142,0,6,0
433182236,4877142,0,6,0
433182236,4877142,0,6,0
433182236,4877142,0,6,0
433182236,4877142,0,6,0
433182236,4877142,0,6,0
433182236,4877142,0,6,0
433182236,4877142,0,6,0
433182236,4877142,0,6,0
433182236,4877142,0,6,0
433182236,4877142,0,6,0
433182236,4877142,0,6,0
433182236,4877142,0,6,0
433182236,4877142,0,6,0
433182236,4877142,0,6,0
433182236,4877142,0,6,0
433182236,4877142,0,6,0
433182236,4877142,0,6,0
433182236,4877142,0,6,0
433182236,4877142,0,6,0
433182236,4877142,0,6,0
433182236,4877142,0,6,0
433182236,4877142,0,6,0
433182236,4877142,0,6,0
433182236,4877142,0,6,0
433182236,4877142,0,6,0
433182236,4877142,0,6,0
433182236,4877142,0,6,0
433182236,4877142,0,6,0
433182236,4877142,0,6,0
433182236,4877142,0,6,0
433182236,4877142,0,6,0
433182236,4877142,0,6,0
433182236,4877142,0,6,0
433182236,4877142,0,6,0
